"SOURCE_INVOICE_NUMBER","SOURCE_LINE_NUMBER","ITEM_TYPE","SOURCE_ITEM_TYPE","ITEM_CODE","DESCRIPTION","QUANTITY","UNIT_PRICE","DISCOUNT","TOTAL","VAT_AMOUNT","UNIT","CURRENCY"
II100199,1,service,L,M00000,LUBE SERVICE,1,50,0,50,2.5,HRS,AED
II100199,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,3,15,0,45,2.25,LTR,AED
II100199,3,parts,M,PAR1201001330,OIL FILTER,1,19,0,19,0.95,PCS,AED
II100200,1,service,L,M00000,CHECK FR BEARING SOUND,1,297,0,297,14.85,HRS,AED
II100200,2,service,S,SLI00510,BEARING FIXING CHARGES,1,32.05,0,32.05,1.6,NOS,AED
II100201,1,service,L,M00000,LUBE SERVICE,1,80,0,80,4,HRS,AED
II100201,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6,15,0,90,4.5,LTR,AED
II100201,3,parts,M,PAR1102000196,"OIL FILTER, INNOVA",1,15,0,15,0.75,PCS,AED
II100202,1,service,L,M00000,LUBE SERVICE,1,135,0,135,6.75,HRS,AED
II100202,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,7,15,0,105,5.25,LTR,AED
II100202,3,parts,M,PAR9999002023,OIL FILTER,1,34.29,0,34.29,1.71,PCS,AED
II100203,1,service,L,M00000,AC GAS TOP UP,1,115,0,115,5.75,HRS,AED
II100203,2,service,C,"9999",AC GAS,1,35,0,35,1.75,NOS,AED
II100204,1,service,L,M00000,REPLACE ENGINE BELT,1,180,0,180,9,HRS,AED
II100204,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,7,15,0,105,5.25,LTR,AED
II100204,3,parts,M,PAR9999003436,OIL FILTER,1,41,0,41,2.05,PCS,AED
II100204,4,parts,M,PAR9999002125,SPARK PLUG,6,45,0,270,13.5,PCS,AED
II100204,5,parts,M,PAR1101000971,COOLANT SUPER LONG,1,94,0,94,4.7,PCS,AED
II100204,6,parts,M,PAR1115000013,"BELT, V-RIBBED",1,310,0,310,15.5,PCS,AED
II100204,7,service,L,M00001,REPLACE COOLANT,1,180,0,180,9,HRS,AED
II100204,8,service,L,M00003,REPLACE SPARK PLUG,1,360,0,360,18,HRS,AED
II100204,9,service,L,M00006,LUBE SERVICE,1,135,0,135,6.75,HRS,AED
II100205,1,service,L,M00000,REPLACE SPARK PLUG & COOLANT,1,540,0,540,27,HRS,AED
II100205,2,parts,M,PAR9999002125,SPARK PLUG,6,45,0,270,13.5,PCS,AED
II100205,3,parts,M,PAR1101000457,COOLANT SUPER LONG 5LT TOYOTA,1,94,0,94,4.7,PCS,AED
II100206,1,service,L,M00000,LUBE SERVICE,1,60,0,60,3,HRS,AED
II100206,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5,15,0,75,3.75,LTR,AED
II100206,3,parts,M,PAR1301000128,OIL FILTER,1,15,0,15,0.75,PCS,AED
II100206,4,service,C,"9999",AC GAS,1,65,0,65,3.25,NOS,AED
II100206,5,service,L,M00002,AC GAS CHANING AND VACUMING,1,120.004,0,120,6,HRS,AED
II100207,1,service,L,M00000,LUBE SERVICE,1,50,0,50,2.5,HRS,AED
II100207,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4,15,0,60,3,LTR,AED
II100207,3,parts,M,PAR1901000005,OIL FILTER KIA/HYUNDAI,1,18,0,18,0.9,PCS,AED
II100208,1,service,L,M00000,LUBE SERVICE,1,135,0,135,6.75,HRS,AED
II100208,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6.5,15,0,97.5,4.88,LTR,AED
II100208,3,parts,M,PAR9999003436,OIL FILTER,1,37.02,0,37.02,1.85,PCS,AED
II100208,4,parts,M,PAR9999002125,SPARK PLUG,6,45,0,270,13.5,PCS,AED
II100208,5,service,L,M00003,REPLACE SPARK PLUG,1,360,0,360,18,HRS,AED
II100210,1,service,L,M00000,LUBE SERVICE & GEAR REPLACE,1,100,0,100,5,HRS,AED
II100211,1,service,L,M00000,CAM SENSOR REP,1,180,0,180,9,HRS,AED
II100211,2,service,S,SLI00519,CAM SHAFT WIRING HARNESS REPAIR-ECM SYSTEM RESETTING,1,900,0,900,45,NOS,AED
II100212,1,service,L,M00000,REPLACE TIRE,1,20,0,20,1,HRS,AED
II100212,2,parts,M,TYR9999004967,TYRE 215/60R16-FORTUNE,4,254.75,0,1019,50.95,PCS,AED
II100212,3,service,S,SLI00464,ALLOY WHEEL STICKER BALANCING,1,41,0,41,2.05,NOS,AED
II100213,1,service,L,M00000,LUBE SERVICE,1,60,0,60,3,HRS,AED
II100213,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,1,10.925,0,10.93,0.55,LTR,AED
II100213,3,parts,M,PAR9999002023,OIL FILTER,5,30.498,0,152.5,7.63,PCS,AED
II100213,4,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6.2,14.75,0,91.45,4.57,LTR,AED
II100213,5,parts,M,PAR9999002023,OIL FILTER,1,38.08,0,38.08,1.9,PCS,AED
II100213,6,service,R,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,1,-10.925,0,-10.93,-0.55,LTR,AED
II100213,7,service,R,PAR9999002023,OIL FILTER,5,-30.498,0,-152.5,-7.63,PCS,AED
II100214,1,service,L,M00000,CHECK COMPLETE BUSH & TIRE,1,360,0,360,18,HRS,AED
II100214,2,parts,M,PAR1121000024,LOWER ARM LHS,1,629,0,629,31.45,NOS,AED
II100214,3,parts,M,PAR1121000022,REAR BRAKE PAD,1,275,0,275,13.75,NOS,AED
II100214,4,parts,M,TYR9999005052,TYRE,2,424.5,0,849,42.45,NOS,AED
II100214,5,service,S,SLI00550,ALLOY WHEEL STICKER BALANCING,1,21,0,21,1.05,NOS,AED
II100214,6,parts,M,PAR1121000023,LOWER ARM RHS,1,629,0,629,31.45,NOS,AED
II100215,1,service,L,M00000,LUBE SERVICE,1,140,0,140,7,HRS,AED
II100215,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6.5,14.75,0,95.88,4.79,LTR,AED
II100215,3,parts,M,PAR9999003436,OIL FILTER,1,43.45,0,43.45,2.17,PCS,AED
II100215,4,parts,M,PAR9999001665,OIL PAN DRIAN PLUGS GASKET,1,2.047,0,2.05,0.1,PCS,AED
II100215,5,parts,M,PAR1116000150,"AIR FILTER, LAND CRUISER",1,159,0,159,7.95,PCS,AED
II100215,6,parts,M,PAR9999002125,SPARK PLUG,6,45,0,270,13.5,PCS,AED
II100215,7,parts,M,LUB9999002786,TRANSMISSION OIL (85W90),5,15,0,75,3.75,LTR,AED
II100215,8,parts,M,LUB9999002786,TRANSMISSION OIL (85W90),3,15,0,45,2.25,LTR,AED
II100215,9,parts,M,PAR9999002801,BRAKE FLUID HBF4 500 ML,2,15,0,30,1.5,PCS,AED
II100215,10,parts,M,PAR1101000971,COOLANT SUPER LONG,1,91,0,91,4.55,PCS,AED
II100215,11,parts,M,PAR1115000013,"BELT, V-RIBBED",1,318.5,0,318.5,15.93,PCS,AED
II100215,12,parts,M,LUB1101000799,"AUTOMATIC TRANSMISSION FLUID, TOYOTA",1,170,0,170,8.5,GAL,AED
II100215,13,parts,M,PAR1117000091,"TRANSMISSION OIL FILTER (STRAINER GEAR),T FORTUNER 2023",1,137,0,137,6.85,PCS,AED
II100215,14,parts,M,PAR9999001845,ATF GASKET T.INNOVA,1,80,0,80,4,PCS,AED
II100215,15,service,L,M00007,REPLACE SPARK PLUG,2,180,0,360,18,HRS,AED
II100215,16,service,L,M00002,REPLACE COOLANT,1,180,0,180,9,HRS,AED
II100215,17,service,L,M00003,REPLACE ENGINE BELT,1,180,0,180,9,HRS,AED
II100215,18,service,L,M00004,REPLACE DIFF OIL & GEAR OIL,1,180,0,180,9,HRS,AED
II100215,19,service,L,M00005,REPLACE AIR FILTER & AC FILTER,0.25,180,0,45,2.25,HRS,AED
II100215,20,service,L,M00006,GEAR OIL TRANSFER,0.25,180,0,45,2.25,HRS,AED
II100216,1,service,L,M00000,CHECK ENGINE MISFIRING,1,100,0,100,5,HRS,AED
II100217,1,service,L,M00000,LUBE SERVICE & REPLACE ATF OIL,1,100,0,100,5,HRS,AED
II100217,2,parts,M,LUB1904000001,ATF OIL,4,47.75,0,191,9.55,LTR,AED
II100218,1,service,L,M00000,LUBE SERVICE WITH BULB CHANGE,1,70,0,70,3.5,HRS,AED
II100218,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,16.5,0,74.25,3.71,LTR,AED
II100218,3,parts,M,PAR1301000128,OIL FILTER,1,15.75,0,15.75,0.79,PCS,AED
II100218,4,parts,M,PAR9999001815,PARKING BULB 2825-OSRAM,2,5,0,10,0.5,PCS,AED
II100219,1,service,L,M01001,CVT REPLACE,1,50,0,50,2.5,HRS,AED
II100219,2,parts,M,PAR1304000001,CVT FLUID- MITSUBISHI,1,329.65,0,329.65,16.48,GAL,AED
II100219,3,parts,M,PAR1301000192,SPARK PLUG,4,51.89,0,207.56,10.38,PCS,AED
II100219,4,parts,M,PAR1301000127,"BUSHING ,FT SUSPENSION STAB",2,26.6,0,53.2,2.66,PCS,AED
II100219,5,parts,M,PAR1301000081,"SHOE SET,REAR BRAKE",1,128.25,0,128.25,6.41,PCS,AED
II100219,6,parts,M,LUB9999004720,QUARTZ 9000 MVP (FS) 5W 40,4,24,0,96,4.8,LTR,AED
II100219,7,parts,M,PAR1301000128,OIL FILTER,1,15,0,15,0.75,PCS,AED
II100219,8,parts,M,PAR1309000100,LINK ROD ASSY,2,95,0,190,9.5,PCS,AED
II100219,9,service,L,M00000,LUBE SERVICE,1,50,0,50,2.5,HRS,AED
II100219,10,service,L,M01006,R/R SPARK PLUGS,1,100,0,100,5,HRS,AED
II100219,11,service,L,M00002,FR LINK ROAD REPLACE,1,200,0,200,10,HRS,AED
II100219,12,service,L,M00003,RR HAND BRAKE SHOE REPLACE,1,100,0,100,5,HRS,AED
II100220,1,service,L,M11001,R/R BATTERY,0.25,95,0,23.75,1.19,HRS,AED
II100220,2,parts,M,BAT1101000736,"55559 DIN55 VOLCAN BATTERY",1,170,0,170,8.5,PCS,AED
II100221,1,service,L,M00000,REPLACE SPARK PLUG,1,50,0,50,2.5,HRS,AED
II100222,1,service,L,M00000,LUBE SERVICE,1,80,0,80,4,HRS,AED
II100222,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6,15,0,90,4.5,LTR,AED
II100222,3,parts,M,PAR1102000196,"OIL FILTER, INNOVA",1,16,0,16,0.8,PCS,AED
II100223,1,service,L,M00000,LUBE SERVICE,1,135,0,135,6.75,HRS,AED
II100223,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,7,15,0,105,5.25,LTR,AED
II100223,3,parts,M,PAR9999003436,OIL FILTER,1,35,0,35,1.75,PCS,AED
II100224,1,service,L,M00000,AC GAS TOP UP,1,100,0,100,5,HRS,AED
II100224,2,service,C,"9999",AC GAS,0.5,65,0,32.5,1.63,NOS,AED
II100225,1,service,L,M00000,LUBE SERVICE,1,50,0,50,2.5,HRS,AED
II100225,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4,15,0,60,3,LTR,AED
II100225,3,parts,M,PAR1104000199,OIL FILTER,1,17,0,17,0.85,PCS,AED
II100226,1,service,L,M00000,LUBE SERVICE,1,70,0,70,3.5,HRS,AED
II100226,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5,14.75,0,73.75,3.69,LTR,AED
II100226,3,parts,M,PAR9999002023,OIL FILTER,1,35,0,35,1.75,PCS,AED
II100227,1,service,L,M11001,R/R BATTERY,0.25,30,0,7.5,0.38,HRS,AED
II100227,2,parts,M,BAT1102000004,CMF-56219-SEBANG BATTERY 62AH,1,218.5,0,218.5,10.93,PCS,AED
II100228,1,service,L,M00002,LUBE SERVICE,1,50,0,50,2.5,HRS,AED
II100228,2,parts,M,PAR1105000417,FR RHS AXLE,1,603,0,603,30.15,NOS,AED
II100228,3,parts,M,PAR1105000067,DRIVE BELT,1,89.11,0,89.11,4.46,PCS,AED
II100228,4,parts,M,PAR1105000419,REAR SHOCK ABSORBER RHS,2,157.5,0,315,15.75,PCS,AED
II100228,5,parts,M,PAR1105000418,FR LINK ROD,2,45,0,90,4.5,PCS,AED
II100228,6,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4,13.27,0,53.08,2.65,LTR,AED
II100228,7,parts,M,PAR1104000199,OIL FILTER,1,13.5,0,13.5,0.68,PCS,AED
II100228,8,parts,M,PAR9999006418,WHEEL CAP,1,150,0,150,7.5,SET,AED
II100228,9,parts,M,TYR9999005056,"185/65 R15 TYRE (FALKEN)",4,273.75,0,1095,54.75,PCS,AED
II100228,10,service,S,SLI00630,CAR BODY WASHING,1,21,0,21,1.05,NOS,AED
II100228,11,service,C,"9999",AC GAS,0.5,65,0,32.5,1.63,NOS,AED
II100228,12,service,L,M00000,RHS AXLE REPLACE,1,150,0,150,7.5,HRS,AED
II100228,13,service,L,M00003,REAR BOTH SHOCK REPLACE,1,50,0,50,2.5,HRS,AED
II100228,14,service,L,M00009,REPLACE DRIVE BELT,1,50,0,50,2.5,HRS,AED
II100228,15,service,L,M00006,REPLACE FR LINK ROD,1,70,0,70,3.5,HRS,AED
II100228,16,service,L,M00007,AC GAS TOP UP,1,100,0,100,5,HRS,AED
II100228,17,service,L,M00004,POWER WINDOW MASTER SWITCH REPAIR,1,50,0,50,2.5,HRS,AED
II100228,18,service,L,M00008,REAR BRAKE CLEAN & ADJUST,1,50,0,50,2.5,HRS,AED
II100229,1,service,L,M00000,LUBE SERVICE & FR BRAKE PAD REP,1,195,0,195,9.75,HRS,AED
II100229,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5.5,10,0,55,2.75,LTR,AED
II100229,3,parts,M,PAR9999002023,OIL FILTER,1,30.51,0,30.51,1.53,PCS,AED
II100229,4,parts,M,PAR1102000196,"OIL FILTER, INNOVA",1,19,0,19,0.95,PCS,AED
II100229,5,service,R,PAR9999002023,OIL FILTER,1,-30.51,0,-30.51,-1.53,PCS,AED
II100229,6,parts,M,PAR1103000134,FRT BRAKE PAD,1,280,0,280,14,PCS,AED
II100229,7,service,C,"9999",AC GAS,1,52,0,52,2.6,NOS,AED
II100229,8,service,L,M00001,AC GAS DISCHARGING & REP,1,302,0,302,15.1,HRS,AED
II100230,1,service,L,M00000,FULL SERVICE,1,380,0,380,19,HRS,AED
II100230,2,parts,M,LUB1305000003,RUBIA OPTIMA 3100 10W-40-DIESEL & GAS ENGINE OIL,9,23,0,207,10.35,LTR,AED
II100230,3,parts,M,PAR1305000017,OIL FILTER,1,80,0,80,4,PCS,AED
II100230,4,parts,M,PAR9999002392,DOUBLE FILMENT BRAKE BULB,2,5,0,10,0.5,PCS,AED
II100230,5,service,S,SLI00516,TYRE ROTATION AND BALANCE (BUS/CANTER PICK-UP),1,320,0,320,16,NOS,AED
II100231,1,service,L,M00000,"LUBE SERVICE, REPLACE WIPER BLADE, CVT & AC FILTER",1,135,0,135,6.75,HRS,AED
II100231,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,3.32,LTR,AED
II100231,3,parts,M,PAR1104000199,OIL FILTER,1,30,0,30,1.5,PCS,AED
II100231,4,parts,M,PAR1101003525,"WIPER BLADE 14""-TENSAI",1,15,0,15,0.75,PCS,AED
II100231,5,parts,M,PAR1101003527,"WIPER BLADE 22"" TENSAI",1,15,0,15,0.75,PCS,AED
II100231,6,parts,M,PAR1105000012,CVT TRANSMISSION FLUID,1,170,0,170,8.5,GAL,AED
II100231,7,parts,M,PAR1101002866,A/C FILTER,1,35,0,35,1.75,PCS,AED
II100232,1,service,L,M00000,LUBE SERVICE. R/R AC FILTER & ATF,1,125,0,125,6.25,HRS,AED
II100232,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4,14.75,0,59,2.95,LTR,AED
II100232,3,parts,M,PAR7302000006,OIL FILTER,1,85,0,85,4.25,PCS,AED
II100232,4,parts,M,LUB9999004730,GEAR OIL,5,135,0,675,33.75,LTR,AED
II100232,5,parts,M,PAR6703000025,A/C FILTER,1,80,0,80,4,PCS,AED
II100233,1,service,L,M00000,CHK ENGINE MISSING & BRAKE,1,50,0,50,2.5,HRS,AED
II100235,1,service,L,M00000,LUBE SERVICE,1,50,0,50,2.5,HRS,AED
II100235,2,parts,M,PAR1104000199,OIL FILTER,1,29,0,29,1.45,PCS,AED
II100235,3,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,10,0,45,2.25,LTR,AED
II100236,1,service,L,M00000,"R/R LIGHT BULB, R/R FR RHS WHL BRG",1,170,0,170,8.5,HRS,AED
II100236,2,parts,M,PAR1202000797,FT WHEEL BEARING,1,91,0,91,4.55,PCS,AED
II100236,3,parts,M,PAR9999005967,H4 BULB,1,20,0,20,1,PCS,AED
II100236,4,service,S,SLI00509,BEARING FIXING CHARGES,1,20,0,20,1,NOS,AED
II100237,1,service,L,M00000,LUBE SERVICE,1,60,0,60,3,HRS,AED
II100237,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5.5,14.75,0,81.13,4.06,LTR,AED
II100237,3,parts,M,PAR1104000199,OIL FILTER,1,15,0,15,0.75,PCS,AED
II100238,1,service,L,M00000,LUBE SERVICE,1,60,0,60,3,HRS,AED
II100238,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5.5,14.75,0,81.13,4.06,LTR,AED
II100238,3,parts,M,PAR1104000199,OIL FILTER,1,15,0,15,0.75,PCS,AED
II100239,1,service,L,M00000,REPLACE BATTERY,1,30,0,30,1.5,HRS,AED
II100239,2,parts,M,BAT9999005247,BATTERY 80D26R ATLAS,1,300,0,300,15,PCS,AED
II100240,1,service,L,M00000,LUBE SERVICE,1,60,0,60,3,HRS,AED
II100240,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5.5,14.75,0,81.13,4.06,LTR,AED
II100240,3,parts,M,PAR1104000199,OIL FILTER,1,19,0,19,0.95,PCS,AED
II100241,1,service,L,M00000,LUBE SERVICE,1,90,0,90,4.5,HRS,AED
II100241,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5,14.75,0,73.75,3.69,LTR,AED
II100241,3,parts,M,PAR9999002001,OIL FILTER,1,15,0,15,0.75,PCS,AED
II100242,1,service,L,M00000,LUBE SERVICE,1,75,0,75,3.75,HRS,AED
II100242,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,7,10,0,70,3.5,LTR,AED
II100242,3,parts,M,PAR9999002023,OIL FILTER,1,30,0,30,1.5,PCS,AED
II100244,1,service,L,M00000,LUBE SERVICE,1,60,0,60,3,HRS,AED
II100244,2,parts,M,PAR1104000199,OIL FILTER,1,19,0,19,0.95,PCS,AED
II100244,3,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5.5,14.75,0,81.13,4.06,LTR,AED
II100245,1,service,L,M00000,LUBE SERVICE,1,60,0,60,3,HRS,AED
II100245,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5.5,14.75,0,81.13,4.06,LTR,AED
II100245,3,parts,M,PAR1104000199,OIL FILTER,1,19,0,19,0.95,PCS,AED
II100246,1,service,L,M00000,LUBE SERVICE,1,75,0,75,3.75,HRS,AED
II100246,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,7,10,0,70,3.5,LTR,AED
II100246,3,parts,M,PAR9999003436,OIL FILTER,1,30,0,30,1.5,PCS,AED
II100247,1,service,L,M00000,FULL SERVICE,1,380,0,380,19,HRS,AED
II100247,2,parts,M,LUB1305000003,RUBIA OPTIMA 3100 10W-40-DIESEL & GAS ENGINE OIL,9,23,0,207,10.35,LTR,AED
II100247,3,parts,M,PAR1305000017,OIL FILTER,1,80,0,80,4,PCS,AED
II100247,4,service,C,"9999",CONSUMABLES,1,10,0,10,0.5,NOS,AED
II100248,1,service,L,M00000,FULL SERVICE,1,380,0,380,19,HRS,AED
II100248,2,parts,M,LUB1305000003,RUBIA OPTIMA 3100 10W-40-DIESEL & GAS ENGINE OIL,9,23,0,207,10.35,LTR,AED
II100248,3,parts,M,PAR1305000017,OIL FILTER,1,80,0,80,4,PCS,AED
II100248,4,service,C,"9999",CONSUMABLES,1,10,0,10,0.5,NOS,AED
II100249,1,service,L,M00000,LUBE SERVICE,1,60,0,60,3,HRS,AED
II100249,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5.5,14.75,0,81.13,4.06,LTR,AED
II100249,3,parts,M,PAR1104000199,OIL FILTER,1,15,0,15,0.75,PCS,AED
II100250,1,service,L,M00000,"LUBE SERVICE, R/R WIPER BLADE",1,380,0,380,19,HRS,AED
II100250,2,parts,M,LUB1305000003,RUBIA OPTIMA 3100 10W-40-DIESEL & GAS ENGINE OIL,9,23,0,207,10.35,LTR,AED
II100250,3,parts,M,PAR1305000017,OIL FILTER,1,80,0,80,4,PCS,AED
II100250,4,parts,M,PAR1101003527,"WIPER BLADE 22"" TENSAI",1,7.5,0,7.5,0.38,PCS,AED
II100250,5,parts,M,PAR1101003527,"WIPER BLADE 22"" TENSAI",1,7.5,0,7.5,0.38,PCS,AED
II100250,6,service,C,"9999",CONSUMABLES,1,10,0,10,0.5,NOS,AED
II100251,1,service,L,M00000,LUBE SERVICE,1,60,0,60,3,HRS,AED
II100251,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,3.32,LTR,AED
II100251,3,parts,M,PAR1104000199,OIL FILTER,1,15,0,15,0.75,PCS,AED
II100252,1,service,L,M00000,MAJOR SERVICE,1,370,0,370,18.5,HRS,AED
II100252,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,14.75,0,66.38,3.32,LTR,AED
II100252,3,parts,M,PAR9999002023,OIL FILTER,1,35,0,35,1.75,PCS,AED
II100252,4,parts,M,LUB1101000799,"AUTOMATIC TRANSMISSION FLUID, TOYOTA",1,146,0,146,7.3,GAL,AED
II100252,5,parts,M,PAR1101000388,ATF GASKET CAMRY-2017-20,1,45,0,45,2.25,PCS,AED
II100252,6,parts,M,PAR9999002069,"A.T.F FILTER, T.CAMRY 2017",1,139,0,139,6.95,PCS,AED
II100252,7,parts,M,PAR1111000157,AIR FILTER,1,140,0,140,7,NOS,AED
II100252,8,parts,M,PAR1121000009,AC FILTER,1,141,0,141,7.05,PCS,AED
II100252,9,parts,M,PAR1101003164,"WIPER BLADE 18"" MITO",1,10,0,10,0.5,PCS,AED
II100252,10,parts,M,PAR1101002967,"WIPER BLADE 24""",1,10,0,10,0.5,PCS,AED
II100252,11,parts,M,PAR1111000063,FT. BRAKE PAD,1,274,0,274,13.7,PCS,AED
II100252,12,parts,M,BAT9999005254,BATTERY 80D26L ATLAS,1,265,0,265,13.25,PCS,AED
II100253,1,service,L,M00000,REPLACE TYRE,0,120.004,0,0,0,HRS,AED
II100253,2,parts,M,TYR9999005055,TYRE,4,367.5,0,1470,73.5,NOS,AED
II100253,3,service,S,SLI00598,ALLOY WHEEL STICKER BALANCING,1,50,0,50,2.5,NOS,AED
II100254,1,service,L,M00000,LUBE SERVICE,0.5,100,0,50,2.5,HRS,AED
II100254,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4,14.75,0,59,2.95,LTR,AED
II100254,3,parts,M,PAR7302000006,OIL FILTER,1,85,0,85,4.25,PCS,AED
II100254,4,service,C,"9999",CONSUMABLES,1,0,0,0,0,NOS,AED
II100255,1,service,L,M00000,REPLACE TYRE,1,0,0,0,0,HRS,AED
II100255,2,parts,M,TYR9999005047,TYRE BRIDGESTONE,4,477.5,0,1910,95.5,NOS,AED
II100255,3,service,S,SLI00517,ALLOY WHEEL STICKER BALANCING,1,50,0,50,2.5,NOS,AED
II100256,1,service,L,M00000,LUBE SERVICE,0.5,120.004,0,60,3,HRS,AED
II100256,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,10,0,45,2.25,LTR,AED
II100256,3,parts,M,PAR1104000199,OIL FILTER,1,19,0,19,0.95,PCS,AED
II100257,1,service,L,M00000,LUBE SERVICE,0.5,120.004,0,60,3,HRS,AED
II100257,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5.5,10,0,55,2.75,LTR,AED
II100257,3,parts,M,PAR1104000199,OIL FILTER,1,19,0,19,0.95,PCS,AED
II100257,4,parts,M,PAR9999001665,OIL PAN DRIAN PLUGS GASKET,1,10,0,10,0.5,PCS,AED
II100258,1,service,L,M00000,"REPLACE AC FILTER, AC GAS TOP UP",1.25,95,0,118.75,5.94,HRS,AED
II100258,2,parts,M,PAR6703000025,A/C FILTER,1,65,0,65,3.25,PCS,AED
II100258,3,service,C,"9999",AC GAS,0.5,65,0,32.5,1.63,NOS,AED
II100260,1,service,L,M00000,"REPLACE ALTERNATOR, BATTERY & ENGINE BELT",3.75,100,0,375,18.75,HRS,AED
II100260,2,parts,M,PAR1202000918,ALTERNATOR ASSY,1,550,0,550,27.5,NOS,AED
II100260,3,parts,M,PAR9999000929,DRIVE BELT,1,85,0,85,4.25,PCS,AED
II100260,4,parts,M,BAT1101000736,"55559 DIN55 VOLCAN BATTERY",1,200,0,200,10,PCS,AED
II100261,1,service,L,M00000,LUBE SERVICE,1,135,0,135,6.75,HRS,AED
II100261,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6.5,15,0,97.5,4.88,LTR,AED
II100261,3,parts,M,PAR9999003436,OIL FILTER,1,37,0,37,1.85,PCS,AED
II100262,1,service,L,M00000,CHECK AND REPORT,1,150,0,150,7.5,HRS,AED
II100263,1,service,L,M00000,LUBE SERVICE,0.46,95,0,43.7,2.19,HRS,AED
II100263,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,3,15,0,45,2.25,LTR,AED
II100263,3,parts,M,PAR1201001330,OIL FILTER,1,20.689,0,20.69,1.03,PCS,AED
II100263,4,parts,M,PAR1101003525,"WIPER BLADE 14""-TENSAI",1,7.5,0,7.5,0.38,PCS,AED
II100263,5,parts,M,PAR1101003527,"WIPER BLADE 22"" TENSAI",1,7.5,0,7.5,0.38,PCS,AED
II100263,6,service,L,M17001,R/R WIPER BLADES (BOTH),0.11,95,0,10.45,0.52,HRS,AED
II100264,1,service,L,M00000,LUBE SERVICE,1,50,0,50,2.5,HRS,AED
II100264,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4,14.75,0,59,2.95,LTR,AED
II100264,3,parts,M,PAR7302000006,OIL FILTER,1,85,0,85,4.25,PCS,AED
II100265,1,service,L,M00000,REPLACE OIL SUMP,1,120.004,0,120,6,HRS,AED
II100265,2,parts,M,PAR1518000096,ENGINE OIL SUMP,1,790,0,790,39.5,NOS,AED
II100266,1,service,L,M00000,LUBE SERVICE,1,140,0,140,7,HRS,AED
II100266,2,parts,M,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6,14.75,0,88.5,4.43,LTR,AED
