"SOURCE_JOB_NUMBER","SOURCE_LINE_NUMBER","ITEM_CODE","NAME","QUANTITY","UNIT_PRICE","SOURCE_TYPE"
JCI12302,1,B00000,NON STANDAND BODYSHOP,1.22,95,Labor
JCI12302,2,PAR9999005917,BRAINDING STICKER,5,10.5,Part
JCI12302,3,PAR9999005914,AMAN TAXI DOOR LOGO,2,10.5,Part
JCI12302,4,PAR9999005913,AMAN TAXI BUMPER LOGO,2,10.5,Part
JCI12302,5,PAR9999005926,AD-STICKER,1,2.1,Part
JCI12302,6,PAR9999005927,NUMBER STICKER FENDER SIDE,4,0.536,Part
JCI12302,7,PAR9999005910,COMMENTS WITH CALL CENTER NUMBER,1,10.5,Part
JCI12302,8,"9999",Labour EXCESS,1,19.84,O
JCI12303,1,B00000,"3 DOOR REPAIR",5,95,Labor
JCI12303,2,"9999",PAINT AND THINNERS,1,70,Consumable
JCI12303,3,"9999",Labour EXCESS,1,55,O
JCI12304,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12304,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12304,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12304,4,PAR1101003479,HYBRID BATTERY FILTER,1,19.205,Part
JCI12304,5,"9999",CONSUMABLES,1,10,Consumable
JCI12305,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12305,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12305,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12305,4,"9999",CONSUMABLES,1,10,Consumable
JCI12305,5,M00000,"2 OLD TYRE R/R",0.3,100,Labor
JCI12306,1,M01999,Lube Service contract,0.75,95,Labor
JCI12306,2,LUB1101000797,"15W40 RUBIA WORKS 1000 DIESEL ENGINE OIL(BULK)",9,7.98,Part
JCI12306,3,PAR1302000283,OIL FILTER,1,58.8,Part
JCI12306,4,"9999",CONSUMABLES,1,10,Consumable
JCI12306,5,"9999",SERVICE CONTRACT DIFF,1,73.13,O
JCI12307,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12307,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12307,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12307,4,PAR1101000871,AC FILTER,1,5.5,Part
JCI12307,5,PAR1101002679,AIR FILTER,1,5.5,Part
JCI12307,6,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI12307,7,"9999",CONSUMABLES,1,10,Consumable
JCI12307,8,M03002,R/R REAR BRAKE PAD,0.5,95,Labor
JCI12308,1,M00000,RADIATO FAN REP,1.2,150,Labor
JCI12309,1,M10004,R/R AC FILTER,0.25,95,Labor
JCI12309,2,PAR1101000426,A/C COMPRESSOR (DENSO-JPN) T.CAMRY 2020,1,1100,Part
JCI12309,3,PAR1101000367,AC CONDENSOR ASSY,1,228.102,Part
JCI12309,4,PAR1101000381,EXPANSION VALVE,1,51.324,Part
JCI12309,5,PAR9999001410,CONDENSOR PIPING CLAMP,1,18.344,Part
JCI12309,6,PAR9999005251,BULB 12 V 21W (7504 -OSRAM) SINGAL FILIMENT,2,3.5,Part
JCI12309,7,PAR1101000871,AC FILTER,1,5.5,Part
JCI12309,8,M10001,R/R AC COMPRESSOR,2,95,Labor
JCI12309,9,M10002,R/R AC CONDENSOR,1.5,95,Labor
JCI12309,10,"9999",AC GAS,0.5,35,Consumable
JCI12309,11,M10019,AC SYSTEM CLEANING,1,95,Labor
JCI12309,12,"9999",CLEANING GAS,2,25,Consumable
JCI12309,13,M10003,R/R AC EXPANSION VALVE,1,95,Labor
JCI12309,14,M10008,AC GAS AND OIL CHARGING,1.92,95,Labor
JCI12310,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1.5,120,Labor
JCI12310,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4,12.5,Part
JCI12310,3,PAR1518000009,OIL FILTER,1,25,Part
JCI12310,4,"9999",CONSUMABLES,1,10,Consumable
JCI12311,1,M04012,R/R FRONT RHS BALL JOINT,1,95,Labor
JCI12311,2,PAR1101003224,"BALL JOINT ,FT -CAMRY 2019-24",1,25.2,Part
JCI12311,3,PAR1101003045,"MOUNT,FT SHOCK",1,75.5,Part
JCI12311,4,M04005,R/R FRONT RHS SHOCK MOUNTING,1.5,95,Labor
JCI12311,5,M00008,HEATER UP HOSE REPAIR,0.5,95,Labor
JCI12311,6,M00005,LHS RACK END REMOVE AND REPAIR AND REFIX,1,95,Labor
JCI12311,7,T16002,WHEEL ALIGNMENT,1,80,Labor
JCI12312,1,M00003,FRT RHS & LHS LOWER ARM BUSH REPLACE,5,95,Labor
JCI12312,2,PAR1101002033,FRONT LOWER ARM BUSH,2,13.178,Part
JCI12312,3,PAR1101002084,LOWER ARM LONG BUSH,2,17.85,Part
JCI12312,4,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI12312,5,PAR1101002272,"LINK ROD ,FT STAB",1,15.75,Part
JCI12312,6,M00002,RR SUSPENSION LIBRICATION,1,95,Labor
JCI12312,7,M04010,R/R FRONT LHS LINK ROD,1,95,Labor
JCI12312,8,T00001,"2 OLD TYRE FIXED",1,30,Labor
JCI12313,1,M00000,FIX UNDER COVER,0.5,95,Labor
JCI12314,1,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI12315,1,M00003,USED STARTER MOTOR REPLACE,2.5,95,Labor
JCI12315,2,PAR1101003321,STARTER MOTOR,1,201.6,Part
JCI12316,1,M01999,Lube Service contract,0.75,95,Labor
JCI12316,2,LUB1101000797,"15W40 RUBIA WORKS 1000 DIESEL ENGINE OIL(BULK)",9,7.98,Part
JCI12316,3,PAR1302000283,OIL FILTER,1,58.8,Part
JCI12316,4,"9999",CONSUMABLES,1,10,Consumable
JCI12316,5,"9999",SERVICE CONTRACT DIFF,1,73.13,O
JCI12317,1,M05004,R/R REAR LHS WHEEL BEARING,1.5,95,Labor
JCI12317,2,PAR1101002253,REAR WHEEL HUB,1,114.4,Part
JCI12318,1,M00000,AC LOW PERSURE PIPE SWIP FROM TOTAL VEHICLE,3,95,Labor
JCI12319,1,B00000,REAR ACCIDENT,6.7,95,Labor
JCI12319,2,PAR9999005910,COMMENTS WITH CALL CENTER NUMBER,1,10.5,Part
JCI12319,3,PAR9999005913,AMAN TAXI BUMPER LOGO,1,10.5,Part
JCI12319,4,PAR9999005911,MY SPEED IS MONITORED ENGLISH,1,7.875,Part
JCI12319,5,PAR9999005912,MY SPEED IS MONITORED ARABIC,1,7.875,Part
JCI12319,6,"9999",PAINT AND THINNERS,1,150,Consumable
JCI12319,7,"9999",Labour EXCESS,1,576.74,O
JCI12320,1,B00000,FR LHS ACCIDENT,2.23,95,Labor
JCI12320,2,"9999",PAINT AND THINNERS,1,70,Consumable
JCI12320,3,"9999",Labour EXCESS,1,118.15,O
JCI12321,1,M11002,ALTERNATOR ASSEMBLY R/O,2.5,95,Labor
JCI12321,2,PAR1101001598,ALTERNATOR PULLY,1,43,Part
JCI12321,3,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI12322,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12322,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12322,3,PAR1101002145,OIL FILTER,1,6.72,Part
JCI12322,4,PAR1101002253,REAR WHEEL HUB,1,114.45,Part
JCI12322,5,PAR1101003164,"WIPER BLADE 18"" MITO",1,2.66,Part
JCI12322,6,PAR1101003165,"WIPER BLADE 24""",1,2.88,Part
JCI12322,7,M05003,R/R REAR RHS WHEEL BEARING,1.5,95,Labor
JCI12322,8,"9999",CONSUMABLES,1,10,Consumable
JCI12323,1,B00000,RR LHS ACCIDENT,1.5,95,Labor
JCI12323,2,PAR9999005917,BRAINDING STICKER,1,10.5,Part
JCI12323,3,PAR9999005913,AMAN TAXI BUMPER LOGO,2,10.5,Part
JCI12323,4,PAR9999005926,AD-STICKER,1,2.1,Part
JCI12323,5,PAR9999005927,NUMBER STICKER FENDER SIDE,4,0.536,Part
JCI12323,6,"9999",PAINT AND THINNERS,1,15,Consumable
JCI12323,7,"9999",Labour EXCESS,1,66.74,O
JCI12324,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12324,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12324,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12324,4,"9999",CONSUMABLES,1,10,Consumable
JCI12325,1,M00000,FRONT BUMPER FIXING,0.5,95,Labor
JCI12326,1,M00003,ABS WIRE REPAIR,1,95,Labor
JCI12326,2,PAR1101002812,BEARING & HUB ASSY FRNT,1,99.45,Part
JCI12326,3,M05001,R/R FRONT RHS WHEEL BEARING,1.5,95,Labor
JCI12327,1,B00000,FRONT ACCIDENT,3,95,Labor
JCI12327,2,PAR1101003298,"SHOW GRILL ( COMPLETE WITH BRACKETS ) - NG, CAMRY 25",1,97.125,Part
JCI12327,3,PAR1101002953,FRONT BUMPER LOWER GRILL,1,116.498,Part
JCI12327,4,"9999",PAINT AND THINNERS,1,150,Consumable
JCI12327,5,"9999",Labour EXCESS,1,51.37,O
JCI12328,1,B00000,FRONT ACCODENT,2.5,95,Labor
JCI12328,2,PAR1101002953,FRONT BUMPER LOWER GRILL,1,116.498,Part
JCI12328,3,"9999",PAINT AND THINNERS,1,70,Consumable
JCI12328,4,"9999",Labour EXCESS,1,76,O
JCI12329,1,M00000,EXHAUST PIPE REPAIR,1,95,Labor
JCI12330,1,M00000,GRAR & DIFF OIL REP / FUEL FILTER AND LINE CLEANING,2,125,Labor
JCI12330,2,LUB9999002786,TRANSMISSION OIL (85W90),4,12.5,Part
JCI12330,3,LUB9999002786,TRANSMISSION OIL (85W90),4,12.5,Part
JCI12330,4,PAR1302000517,FUEL FILTER,1,50,Part
JCI12330,5,PAR1302000185,AIR FILTER,1,150,Part
JCI12330,6,PAR1302000178,FRT BRAKE PAD,1,105,Part
JCI12330,7,"9999",CONSUMABLES,1,10,Consumable
JCI12330,8,M00003,FRONT BRAKE PAD REP,2,125,Labor
JCI12331,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12331,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12331,3,PAR1101002145,OIL FILTER,1,6.72,Part
JCI12331,4,PAR1101002272,"LINK ROD ,FT STAB",2,15.75,Part
JCI12331,5,PAR1101000871,AC FILTER,1,5.5,Part
JCI12331,6,PAR1101002146,AIR FILTER,1,5.5,Part
JCI12331,7,M00000,FRONT BOTH LINK ROD R/R,2,95,Labor
JCI12331,8,"9999",CONSUMABLES,1,10,Consumable
JCI12332,1,T00001,"2 OLD TYRE R/R",0.3,100,Labor
JCI12333,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12333,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,12.5,Part
JCI12333,3,PAR1906000054,OIL FILTER,1,30,Part
JCI12333,4,PAR1905000139,DRIVE BELT -SONATA,1,130.914,Part
JCI12333,5,PAR1905000085,AIR FILTER,1,68.45,Part
JCI12333,6,PAR2004000085,A/C FILTER,1,65.48,Part
JCI12333,7,PAR1905000141,SPARK PLUG,4,51.282,Part
JCI12333,8,PAR9999002801,BRAKE FLUID HBF4 500 ML,2,11.151,Part
JCI12333,9,PAR1905000131,COOLANT,1,46.83,Part
JCI12333,10,PAR1905000140,FILTER-FUEL PUMP,1,90.216,Part
JCI12333,11,"9999",CONSUMABLES,1,10,Consumable
JCI12333,12,M00000,ENGINE BELT R/R AND MOUNTING REMOVED AND REFIX,2,95,Labor
JCI12333,13,M11020,FUEL PUMP FILTER R/R,2,95,Labor
JCI12333,14,M01006,R/R SPARK PLUGS,1,95,Labor
JCI12334,1,M00000,AC ENGINE SERVICE / AC COOLANT TANK REP,1.7,150,Labor
JCI12334,2,LUB1101000797,"15W40 RUBIA WORKS 1000 DIESEL ENGINE OIL(BULK)",6,12.5,Part
JCI12334,3,PAR1305000284,OIL FILTER,1,23,Part
JCI12334,4,PAR1401000312,COOLANT TANK AC ENG,1,160,Part
JCI12334,5,"9999",CONSUMABLES,1,10,Consumable
JCI12335,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12335,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12335,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12335,4,"9999",CONSUMABLES,1,10,Consumable
JCI12336,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1.5,120,Labor
JCI12336,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,6,12.5,Part
JCI12336,3,PAR1102000196,"OIL FILTER, INNOVA",1,15,Part
JCI12336,4,"9999",CONSUMABLES,1,10,Consumable
JCI12337,1,M00003,FRONT BRAKE DISC SKIMMING,1.5,95,Labor
JCI12337,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12337,3,PAR1101002858,OIL FILTER,1,6.72,Part
JCI12337,4,PAR1101002348,ALTERNATOR BELT,1,26.691,Part
JCI12337,5,PAR1101002812,BEARING & HUB ASSY FRNT,1,99.45,Part
JCI12337,6,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12337,7,"9999",CONSUMABLES,1,10,Consumable
JCI12337,8,M01020,ENGINE BELTS R/R,1,95,Labor
JCI12337,9,M05002,R/R FRONT LHS WHEEL BEARING,1.5,95,Labor
JCI12338,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1.5,120,Labor
JCI12338,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,7,12.5,Part
JCI12338,3,PAR9999002023,OIL FILTER,1,32,Part
JCI12338,4,"9999",CONSUMABLES,1,10,Consumable
JCI12339,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12339,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12339,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12339,4,PAR9999001665,OIL PAN DRIAN PLUGS GASKET,1,3,Part
JCI12339,5,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI12339,6,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI12339,7,"9999",CONSUMABLES,1,10,Consumable
JCI12339,8,M03002,R/R REAR BRAKE PAD,0.5,95,Labor
JCI12340,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12340,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12340,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12340,4,"9999",CONSUMABLES,1,10,Consumable
JCI12341,1,M01999,Lube Service contract,0.5,95,Labor
JCI12341,2,LUB9999004720,QUARTZ 9000 MVP (FS) 5W 40,4.5,11.865,Part
JCI12341,3,PAR9999005545,OIL FILTER -MG,1,24.339,Part
JCI12341,4,"9999",CONSUMABLES,1,10,Consumable
JCI12341,5,"9999",SERVICE CONTRACT DIFF,1,34.74,O
JCI12342,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12342,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.5,12.5,Part
JCI12342,3,PAR1906000054,OIL FILTER,1,30,Part
JCI12342,4,PAR2004000085,A/C FILTER,1,65.85,Part
JCI12342,5,PAR1905000085,AIR FILTER,1,68.85,Part
JCI12342,6,PAR1905000140,FILTER-FUEL PUMP,1,90.216,Part
JCI12342,7,PAR9999002801,BRAKE FLUID HBF4 500 ML,2,11.151,Part
JCI12342,8,PAR1905000131,COOLANT,1,46.83,Part
JCI12342,9,PAR1905000141,SPARK PLUG,4,51.282,Part
JCI12342,10,PAR1905000139,DRIVE BELT -SONATA,1,130.914,Part
JCI12342,11,"9999",CONSUMABLES,1,10,Consumable
JCI12342,12,M11020,FUEL PUMP FILTER R/R,2,95,Labor
JCI12342,13,M00000,ENGINE BELT R/R AND ENGINE MOUNTING REMOVE AND REFIX,2,95,Labor
JCI12342,14,M01006,R/R SPARK PLUGS,1,95,Labor
JCI12342,15,M03009,BRAKES BLEEDED,0.5,95,Labor
JCI12343,1,T00001,"2 OLD TYRE FIXED",1,30,Labor
JCI12343,2,T16002,WHEEL ALIGNMENT,1,80,Labor
JCI12344,1,B00000,FRONT MED ACCIDENT,4.5,95,Labor
JCI12344,2,PAR1101003140,"HEAD LAMP,RH",1,451.5,Part
JCI12344,3,"9999",PAINT AND THINNERS,1,70,Consumable
JCI12344,4,"9999",Labour EXCESS,1,351,O
JCI12345,1,M00000,CVT R/R,0.5,95,Labor
JCI12345,2,PAR9999005751,A/C FILTER,1,72.15,Part
JCI12345,3,PAR9999005762,ATF OIL LTR,4,68,Part
JCI12345,4,M10017,AC GAS TOP UP,1,95,Labor
JCI12345,5,M10004,R/R AC FILTER,0.25,95,Labor
JCI12345,6,"9999",AC GAS,0.5,65,Consumable
JCI12346,1,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI12347,1,M00000,REPLACE TIRE,1,20,Labor
JCI12347,2,TYR9999004967,TYRE 215/60R16-FORTUNE,4,254.75,Part
JCI12347,3,SLI00464,ALLOY WHEEL STICKER BALANCING,1,41,Service
JCI12348,1,M04001,R/R FRONT RHS SHOCKABSORBER,1.5,95,Labor
JCI12348,2,PAR1101002033,FRONT LOWER ARM BUSH,2,13.178,Part
JCI12348,3,PAR1101002084,LOWER ARM LONG BUSH,1,17.85,Part
JCI12348,4,PAR1101002916,FRONT RH SHOCK ABSORBER,1,69.762,Part
JCI12348,5,M00003,FRONT RHS AND LHS LOWER ARM BUSH R/R,5,95,Labor
JCI12348,6,T16002,WHEEL ALIGNMENT,1,80,Labor
JCI12348,7,T00001,ONE OLD TYRE,0.15,100,Labor
JCI12349,1,M05007,R/R DRIVE SHAFT LHS,1.5,95,Labor
JCI12349,2,PAR1101002149,FR LHS AXLE ASSY,1,149.237,Part
JCI12349,3,PAR1101002916,FRONT RH SHOCK ABSORBER,1,69.762,Part
JCI12349,4,M04001,R/R FRONT RHS SHOCKABSORBER,1.5,95,Labor
JCI12350,1,M17002,R/R BONNET SHOCKS (BOTH),0.5,95,Labor
JCI12350,2,PAR1101001170,HOOD SUPPORT,2,16.559,Part
JCI12351,1,M00002,BATTERY FILTER R/R,0.25,95,Labor
JCI12351,2,PAR1153000046,"FILTER,HV BATTERY",1,14.438,Part
JCI12351,3,PAR9999001815,PARKING BULB 2825-OSRAM,2,2.5,Part
JCI12352,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1.5,95,Labor
JCI12352,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,5.5,12.5,Part
JCI12352,3,PAR1102000651,OIL FILTER,1,6.72,Part
JCI12352,4,PAR9999006187,REMOTE BATTERY,1,3.948,Part
JCI12352,5,"9999",CONSUMABLES,1,10,Consumable
JCI12353,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12353,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12353,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12353,4,PAR1101000871,AC FILTER,1,5.5,Part
JCI12353,5,PAR1101002679,AIR FILTER,1,5.5,Part
JCI12353,6,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI12353,7,"9999",CONSUMABLES,1,10,Consumable
JCI12354,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12354,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12354,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12354,4,"9999",CONSUMABLES,1,10,Consumable
JCI12355,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12355,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12355,3,PAR1101002145,OIL FILTER,1,6.72,Part
JCI12355,4,PAR1101001534,FRONT BRAKE PAD,1,29.9,Part
JCI12355,5,PAR1101002272,"LINK ROD ,FT STAB",1,15.75,Part
JCI12355,6,M04009,R/R FRONT RHS LINK ROD,1,95,Labor
JCI12355,7,M03001,R/R FRONT BRAKE PAD,0.5,95,Labor
JCI12355,8,"9999",CONSUMABLES,1,10,Consumable
JCI12356,1,M11001,R/R BATTERY,0.25,95,Labor
JCI12356,2,BAT1101000731,MARCO BATTERY SMF58014 80AH (58043),1,243,Part
JCI12357,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12357,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12357,3,PAR1101002858,OIL FILTER,1,6.72,Part
JCI12357,4,TYR9999004967,TYRE 215/60R16-FORTUNE,4,225,Part
JCI12357,5,"9999",CONSUMABLES,1,10,Consumable
JCI12358,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12358,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12358,3,PAR1101002145,OIL FILTER,1,6.72,Part
JCI12358,4,PAR1101000871,AC FILTER,1,5.5,Part
JCI12358,5,"9999",CONSUMABLES,1,10,Consumable
JCI12359,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12359,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12359,3,PAR1104000199,OIL FILTER,1,14.1,Part
JCI12359,4,"9999",CONSUMABLES,1,10,Consumable
JCI12360,1,M00000,REAR RHS DOOR LOCK REPAIR,0.5,95,Labor
JCI12361,1,B00000,REAR ACCIDENT,1.5,95,Labor
JCI12361,2,PAR9999005910,COMMENTS WITH CALL CENTER NUMBER,1,10.5,Part
JCI12361,3,PAR9999005913,AMAN TAXI BUMPER LOGO,1,10.5,Part
JCI12361,4,"9999",PAINT AND THINNERS,1,25,Consumable
JCI12361,5,"9999",Labour EXCESS,1,11.5,O
JCI12362,1,M04005,R/R FRONT RHS SHOCK MOUNTING,1.5,95,Labor
JCI12362,2,PAR1101003045,"MOUNT,FT SHOCK",1,75.5,Part
JCI12362,3,PAR1101002812,BEARING & HUB ASSY FRNT,1,99.45,Part
JCI12362,4,PAR1101002253,REAR WHEEL HUB,1,114.45,Part
JCI12362,5,PAR1101002272,"LINK ROD ,FT STAB",2,15.75,Part
JCI12362,6,M05003,R/R REAR RHS WHEEL BEARING,1.5,95,Labor
JCI12362,7,M05001,R/R FRONT RHS WHEEL BEARING,1.5,95,Labor
JCI12362,8,M00000,FRONT BOTH SIDE LINK ROD R/R,2,95,Labor
JCI12363,1,M00000,"REMOVE CENTRE CONSOLE, REPLACE AIR BAG MODULE & REFIXED",3,95,Labor
JCI12363,2,PAR6701000137,AIRBAG MODULE,1,365,Part
JCI12363,3,M00003,AIR BAG MODULE PROGRAMMING,3,95,Labor
JCI12364,1,M10001,R/R AC COMPRESSOR,2,95,Labor
JCI12364,2,PAR1101000426,A/C COMPRESSOR (DENSO-JPN) T.CAMRY 2020,1,1100,Part
JCI12364,3,PAR1101000367,AC CONDENSOR ASSY,1,228.102,Part
JCI12364,4,PAR1101000381,EXPANSION VALVE,1,51.324,Part
JCI12364,5,PAR9999001410,CONDENSOR PIPING CLAMP,1,18.344,Part
JCI12364,6,PAR1101000871,AC FILTER,1,4.62,Part
JCI12364,7,"9999",AC GAS,0.5,35,Consumable
JCI12364,8,"9999",CLEANING GAS,2,25,Consumable
JCI12364,9,M10002,R/R AC CONDENSOR,1.5,95,Labor
JCI12364,10,M10003,R/R AC EXPANSION VALVE,1,95,Labor
JCI12364,11,M10019,AC SYSTEM CLEANING,1,95,Labor
JCI12364,12,M10008,AC GAS AND OIL CHARGING,1.9,95,Labor
JCI12365,1,M00000,GEAR SHAMPER R/R,2.5,95,Labor
JCI12365,2,LUB1101000799,"AUTOMATIC TRANSMISSION FLUID, TOYOTA",1,135,Part
JCI12365,3,PAR1101003181,GEAR OIL PAN,1,186.9,Part
JCI12365,4,M02001,R/R ATF,0.5,95,Labor
JCI12366,1,M00000,"REMOVE CENTRE CONSOLE, REPLACE AIR BAG MODULE & REFIXED",3,95,Labor
JCI12366,2,PAR6701000137,AIRBAG MODULE,1,715,Part
JCI12366,3,BAT9999005214,BATTERY 55D23L,1,235,Part
JCI12366,4,M11001,R/R BATTERY,0.25,95,Labor
JCI12366,5,M00003,AIR BAG MODULE PROGRAMMING,1,285,Labor
JCI12367,1,M00000,REPLACE SPARK PLUG & IGNITION COIL,1,95,Labor
JCI12367,2,PAR6703000013,SPARK PLUG,4,65,Part
JCI12367,3,PAR6703000028,IGNITION COIL,2,151,Part
JCI12368,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1.5,120,Labor
JCI12368,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,3.5,12.5,Part
JCI12368,3,PAR2305000052,OIL FILTER SUZUKI,1,15,Part
JCI12368,4,LUB9999004730,GEAR OIL,2,95,Part
JCI12368,5,PAR9999002799,ENGINE FLUSHING OIL TOTAL,1,45,Part
JCI12368,6,PAR9999000313,BRAKE BULB FLAMENT 12066CP 7515,2,10,Part
JCI12368,7,M02001,R/R ATF,0.5,120,Labor
JCI12368,8,"9999",CONSUMABLES,1,10,Consumable
JCI12368,9,M01022,ENGINE FLUSHING,0.5,120,Labor
JCI12369,1,SLI00470,CAR FR GLASS WITH FIXING,1,336,Service
JCI12369,2,"9999",Labour EXCESS,1,464,O
JCI12370,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12370,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12370,3,PAR1104000199,OIL FILTER,1,13.64,Part
JCI12370,4,"9999",CONSUMABLES,1,10,Consumable
JCI12371,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12371,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12371,3,PAR1104000199,OIL FILTER,1,14.1,Part
JCI12371,4,"9999",CONSUMABLES,1,10,Consumable
JCI12372,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI12372,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,12.5,Part
JCI12372,3,PAR1101002858,OIL FILTER,1,6.72,Part
JCI12372,4,LUB1101000799,"AUTOMATIC TRANSMISSION FLUID, TOYOTA",1,135,Part
JCI12372,5,PAR1101001534,FRONT BRAKE PAD,1,29.9,Part
JCI12372,6,PAR1101002660,FRONT BRAKE DISC,2,63,Part
JCI12372,7,PAR1101000871,AC FILTER,1,5.5,Part
JCI12372,8,PAR1101000864,AIR FILTER,1,5.5,Part
JCI12372,9,PAR9999001665,OIL PAN DRIAN PLUGS GASKET,1,1.869,Part
JCI12372,10,TYR9999004967,TYRE 215/60R16-FORTUNE,4,225,Part
JCI12372,11,M02001,R/R ATF,0.5,95,Labor
JCI12372,12,"9999",CONSUMABLES,1,10,Consumable
