"SOURCE_JOB_NUMBER","SOURCE_LINE_NUMBER","ITEM_CODE","NAME","QUANTITY","UNIT_PRICE","SOURCE_TYPE"
JCI17928,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17928,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17928,4,"9999",CONSUMABLES,1,10,Consumable
JCI17929,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17929,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17929,3,PAR1104000199,OIL FILTER,1,13.65,Part
JCI17929,4,TYR9999004967,TYRE 215/60R16-FORTUNE,2,225,Part
JCI17929,5,"9999",CONSUMABLES,1,10,Consumable
JCI17930,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17930,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17930,3,PAR1101002145,OIL FILTER,1,6.72,Part
JCI17930,4,PAR1101000864,AIR FILTER,1,6.3,Part
JCI17930,5,PAR1101002866,A/C FILTER,1,5.5,Part
JCI17930,6,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI17930,7,PAR1101001301,ALTERNATOR BELT,1,29.411,Part
JCI17930,8,PAR1101001795,TENSIONER ASSY,1,29.4,Part
JCI17930,9,LUB1101000799,"AUTOMATIC TRANSMISSION FLUID, TOYOTA",1,135,Part
JCI17930,10,"9999",CONSUMABLES,1,10,Consumable
JCI17930,11,M02001,R/R ATF,0.5,95,Labor
JCI17930,12,M03002,R/R REAR BRAKE PAD,0.5,95,Labor
JCI17930,13,M01019,DRIVE BELT R/R,1,95,Labor
JCI17930,14,M01012,BELT TENSIONER ASSEMBLY R/R,1.5,95,Labor
JCI17931,1,M01001,CARRYOUT PERIODIC MAINTENANCE SERVICE,1,95,Labor
JCI17931,2,LUB9999004725,SAE 5W30 TOTAL QUARTZ 7000 API SN,4.7,14.75,Part
JCI17931,3,PAR1101002145,OIL FILTER,1,6.72,Part
JCI17931,4,PAR1101001534,FRONT BRAKE PAD,1,29.9,Part
JCI17931,5,PAR1101000997,BRAKE PAD REAR,1,27.6,Part
JCI17931,6,PAR1101002866,A/C FILTER,1,5.5,Part
JCI17931,7,PAR1101000864,AIR FILTER,1,6.3,Part
JCI17931,8,PAR1101002966,"WIPER BLADE 18""",1,2.66,Part
